frame, id, class , confidence         , x1  , y1  , x2  , y2
    1,  1, j     , 0.9088094234466553 , 1057,  884, 1267, 1151
    1,  2, feeder, 0.9038479924201965 ,  942, 1044, 1873, 1318
    2,  1, j     , 0.908190131187439  , 1053,  901, 1266, 1151
    2,  2, feeder, 0.9063096046447754 ,  942, 1044, 1873, 1318
    3,  1, j     , 0.8999889492988586 , 1051,  918, 1267, 1147
    3,  2, feeder, 0.8981757760047913 ,  944, 1044, 1872, 1317
    4,  1, j     , 0.8930725455284119 , 1048,  935, 1262, 1150
    4,  2, feeder, 0.8684177398681641 ,  943, 1043, 1871, 1318
    5,  1, j     , 0.8923203349113464 , 1050,  949, 1261, 1164
    5,  2, feeder, 0.8513786196708679 ,  944, 1044, 1871, 1318
    6,  1, j     , 0.8906286954879761 , 1050,  956, 1261, 1172
    6,  2, feeder, 0.853546679019928  ,  944, 1044, 1871, 1318
    7,  1, j     , 0.8913391828536987 , 1048,  959, 1263, 1176
    7,  2, feeder, 0.85774827003479   ,  945, 1044, 1871, 1318
    8,  1, j     , 0.8910506367683411 , 1048,  959, 1264, 1177
    8,  2, feeder, 0.8572382926940918 ,  946, 1044, 1871, 1318
    9,  1, j     , 0.8920746445655823 , 1048,  959, 1265, 1176
    9,  2, feeder, 0.8504028916358948 ,  946, 1044, 1871, 1318
   10,  1, j     , 0.8930051326751709 , 1050,  959, 1267, 1174
   10,  2, feeder, 0.8477290868759155 ,  946, 1044, 1871, 1318
   11,  1, j     , 0.8916935324668884 , 1052,  959, 1267, 1172
   11,  2, feeder, 0.8404372334480286 ,  945, 1044, 1871, 1318
   12,  1, j     , 0.89568692445755   , 1050,  958, 1265, 1165
   12,  2, feeder, 0.8436126112937927 ,  945, 1044, 1871, 1318
   13,  1, j     , 0.889482319355011  , 1049,  955, 1263, 1155
   13,  2, feeder, 0.8689448833465576 ,  943, 1044, 1871, 1318
   14,  1, j     , 0.8986544013023376 , 1051,  951, 1265, 1150
   14,  2, feeder, 0.8784392476081848 ,  943, 1044, 1871, 1318
   15,  1, j     , 0.887963593006134  , 1052,  936, 1268, 1151
   15,  2, feeder, 0.880911648273468  ,  942, 1045, 1871, 1318
   16,  1, j     , 0.8937307000160217 , 1055,  922, 1274, 1150
   16,  2, feeder, 0.8902921080589294 ,  943, 1045, 1872, 1317
   17,  1, j     , 0.8930356502532959 , 1057,  918, 1276, 1150
   17,  2, feeder, 0.8879767656326294 ,  943, 1045, 1872, 1317
