frame,id,class,confidence,x1,y1,x2,y2
1,,j,0.9146108627319336,1211,803,1455,1143
2,20.0,j,0.9134619832038879,1211,803,1455,1143
3,20.0,j,0.9150499701499939,1209,806,1454,1144
4,20.0,j,0.9152539372444153,1209,808,1455,1144
5,20.0,j,0.9138059616088867,1209,808,1456,1143
6,20.0,j,0.9125549793243408,1208,808,1456,1143
7,20.0,j,0.9169443845748901,1206,813,1457,1143
8,20.0,j,0.9165856242179871,1206,815,1456,1144
9,20.0,j,0.9212319254875183,1205,820,1456,1143
10,20.0,j,0.9169872999191284,1209,824,1457,1143
11,20.0,j,0.9171386957168579,1212,827,1457,1142
12,20.0,j,0.9207525253295898,1210,831,1457,1142
13,20.0,j,0.920425295829773,1211,832,1457,1142
14,20.0,j,0.9183441996574402,1213,834,1457,1142
15,20.0,j,0.9170445203781128,1214,835,1457,1142
16,20.0,j,0.9261882901191711,1216,841,1455,1142
17,20.0,j,0.9251058101654053,1219,874,1453,1142
18,20.0,j,0.9173539280891418,1220,875,1446,1141
19,20.0,j,0.9226487278938293,1206,867,1433,1143
20,20.0,j,0.9227590560913086,1192,854,1420,1144
21,20.0,j,0.9169166088104248,1176,851,1410,1142
22,20.0,j,0.9278157949447632,1160,847,1393,1139
23,20.0,j,0.9238587617874146,1147,844,1378,1138
24,20.0,j,0.9244213700294495,1140,843,1369,1143
25,20.0,j,0.9248810410499573,1138,843,1364,1145
26,20.0,j,0.924988329410553,1137,843,1361,1145
27,20.0,j,0.9245641231536865,1136,843,1359,1146
28,20.0,j,0.9226477146148682,1135,844,1357,1147
29,20.0,j,0.9226341247558594,1135,844,1354,1149
30,20.0,j,0.9219539165496826,1135,843,1354,1150
31,20.0,j,0.9229776859283447,1136,844,1352,1149
32,20.0,j,0.9209923148155212,1135,845,1352,1148
33,20.0,j,0.9191467761993408,1136,850,1353,1147
34,20.0,j,0.9176934957504272,1136,856,1352,1147
35,20.0,j,0.9172606468200684,1136,859,1354,1147
36,20.0,j,0.9177173972129822,1136,860,1353,1147
37,20.0,j,0.9180179834365845,1136,859,1353,1146
38,20.0,j,0.9176321625709534,1136,859,1354,1146
39,20.0,j,0.9164428114891052,1136,860,1353,1146
40,20.0,j,0.9137539863586426,1136,861,1353,1146
41,20.0,j,0.9138064384460449,1137,861,1353,1146
42,20.0,j,0.9124807715415955,1136,862,1352,1146
43,20.0,j,0.9153713583946228,1137,860,1353,1146
44,20.0,j,0.9164498448371887,1137,858,1355,1144
45,20.0,j,0.9205046892166138,1139,856,1357,1142
46,20.0,j,0.9191686511039734,1142,860,1357,1143
47,20.0,j,0.9152010083198547,1143,865,1357,1145
48,20.0,j,0.9230987429618835,1138,857,1357,1147
49,20.0,j,0.9160763025283813,1115,849,1358,1148
50,20.0,j,0.9163814187049866,1104,839,1359,1148
51,20.0,j,0.9170376062393188,1099,836,1360,1149
52,20.0,j,0.9161439538002014,1098,834,1360,1149
53,20.0,j,0.9165700674057007,1097,834,1359,1149
54,20.0,j,0.9165722131729126,1097,835,1358,1149
55,20.0,j,0.9168536067008972,1098,836,1358,1149
56,20.0,j,0.9172539114952087,1098,837,1358,1149
57,20.0,j,0.9144755005836487,1099,837,1358,1149
58,20.0,j,0.91835618019104,1122,832,1357,1148
59,20.0,j,0.917181670665741,1133,830,1358,1148
60,20.0,j,0.9196867346763611,1137,831,1359,1147
61,20.0,j,0.9206594824790955,1142,832,1358,1147
62,20.0,j,0.9195515513420105,1143,832,1358,1147
63,20.0,j,0.918595016002655,1143,831,1358,1147
64,20.0,j,0.9168873429298401,1144,829,1358,1146
65,20.0,j,0.9169766902923584,1146,831,1358,1146
66,20.0,j,0.9194740056991577,1145,846,1361,1146
67,20.0,j,0.9190542697906494,1143,857,1368,1146
68,20.0,j,0.9142507314682007,1135,861,1374,1147
69,20.0,j,0.9172345399856567,1118,862,1377,1147
70,20.0,j,0.9145886301994324,1119,862,1379,1147
71,20.0,j,0.9158958792686462,1117,862,1379,1147
72,20.0,j,0.9149100184440613,1118,862,1379,1147
73,20.0,j,0.9155313372612,1117,862,1379,1148
74,20.0,j,0.9168902635574341,1114,862,1378,1148
75,20.0,j,0.9194014668464661,1117,863,1378,1148
76,20.0,j,0.9167425632476807,1117,863,1378,1148
77,20.0,j,0.9192554950714111,1115,864,1376,1148
78,20.0,j,0.919407844543457,1114,863,1384,1147
79,20.0,j,0.9156739115715027,1109,862,1401,1147
80,20.0,j,0.9217079877853394,1100,860,1407,1147
81,20.0,j,0.9136608242988586,1105,859,1410,1148
82,20.0,j,0.9214940071105957,1098,859,1410,1148
83,20.0,j,0.925780177116394,1086,859,1411,1148
84,20.0,j,0.925177276134491,1085,858,1412,1148
85,20.0,j,0.9254725575447083,1084,859,1411,1148
86,20.0,j,0.927822470664978,1080,858,1411,1148
87,20.0,j,0.9235689043998718,1073,864,1405,1148
88,20.0,j,0.9196950793266296,1118,866,1390,1148
89,20.0,j,0.9069786071777344,1142,867,1392,1147
90,20.0,j,0.9182232022285461,1136,830,1410,1148
91,20.0,j,0.9232755303382874,1138,785,1438,1149
92,20.0,j,0.9183295369148254,1174,759,1455,1140
93,20.0,j,0.9179103374481201,1200,756,1475,1135
94,20.0,j,0.9276324510574341,1219,781,1499,1155
95,20.0,j,0.9265115857124329,1229,822,1518,1191
96,20.0,j,0.9262398481369019,1238,833,1535,1206
97,20.0,j,0.9270038604736328,1250,835,1547,1211
98,20.0,j,0.9305879473686218,1257,836,1556,1212
99,20.0,j,0.9301448464393616,1254,836,1560,1211
100,20.0,j,0.9299895167350769,1260,837,1561,1212
101,20.0,j,0.9301415681838989,1257,837,1561,1212
102,20.0,j,0.9316536784172058,1256,836,1561,1212
103,20.0,j,0.9305384755134583,1249,836,1561,1211
104,20.0,j,0.9309967160224915,1247,835,1560,1211
105,20.0,j,0.9310771822929382,1248,835,1559,1211
106,20.0,j,0.9312595129013062,1247,834,1558,1212
107,20.0,j,0.9306222796440125,1244,833,1558,1212
108,20.0,j,0.9298434853553772,1241,833,1557,1212
109,20.0,j,0.9301519393920898,1236,832,1557,1212
110,20.0,j,0.9307366013526917,1230,831,1556,1212
111,20.0,j,0.928494393825531,1239,835,1555,1212
112,20.0,j,0.9330088496208191,1243,851,1555,1202
113,20.0,j,0.9342859387397766,1221,865,1546,1210
114,20.0,j,0.9293105006217957,1167,878,1528,1230
115,20.0,j,0.9250160455703735,1126,886,1513,1237
116,20.0,j,0.9253835082054138,1105,888,1503,1240
117,20.0,j,0.9271496534347534,1097,881,1500,1241
118,20.0,j,0.9253154993057251,1095,872,1499,1241
119,20.0,j,0.9243709444999695,1093,866,1498,1242
120,20.0,j,0.9233217239379883,1091,861,1497,1241
121,20.0,j,0.9351276159286499,1074,863,1499,1240
122,20.0,j,0.940345287322998,1047,868,1501,1240
123,20.0,j,0.9426078796386719,1034,853,1509,1239
124,20.0,j,0.9469346404075623,1028,828,1530,1238
125,20.0,j,0.9470294713973999,1024,813,1543,1238
126,20.0,j,0.9476966261863708,1023,808,1554,1238
127,20.0,j,0.948767364025116,1023,804,1564,1238
128,20.0,j,0.9488009214401245,1023,803,1574,1239
129,20.0,j,0.9493041634559631,1023,802,1577,1239
130,20.0,j,0.9482671022415161,1024,803,1580,1238
131,20.0,j,0.9488076567649841,1024,804,1582,1238
132,20.0,j,0.9470030665397644,1024,802,1586,1239
133,20.0,j,0.9479026794433594,1022,806,1593,1239
134,20.0,j,0.9495599269866943,1017,802,1637,1240
135,20.0,j,0.9530994892120361,1020,799,1702,1240
136,20.0,j,0.9542039036750793,1015,788,1778,1229
137,20.0,j,0.9475311636924744,1004,780,1831,1224
138,20.0,j,0.9501991271972656,998,778,1845,1231
139,20.0,j,0.9453757405281067,997,780,1839,1236
140,20.0,j,0.9478108882904053,998,782,1821,1239
141,20.0,j,0.9480026364326477,1000,782,1800,1241
142,20.0,j,0.9446322917938232,999,780,1777,1242
143,20.0,j,0.9453963041305542,1000,782,1758,1242
144,20.0,j,0.9537658095359802,1002,789,1738,1242
145,20.0,j,0.9494053721427917,1002,799,1712,1243
146,20.0,j,0.9507006406784058,1008,805,1679,1243
147,20.0,j,0.9522309303283691,1009,807,1659,1243
148,20.0,j,0.9524268507957458,1009,806,1645,1244
149,20.0,j,0.9510216116905212,1009,805,1629,1244
150,20.0,j,0.9497215151786804,1010,804,1625,1245
151,20.0,j,0.9487467408180237,1012,799,1620,1244
152,20.0,j,0.9487507939338684,1013,795,1614,1244
153,20.0,j,0.9513561129570007,1014,799,1606,1244
154,20.0,j,0.9510713219642639,1015,798,1596,1244
155,20.0,j,0.9511219263076782,1017,792,1591,1243
156,20.0,j,0.9495251178741455,1009,811,1573,1244
157,20.0,j,0.9479070901870728,1004,818,1553,1244
158,20.0,j,0.9467312693595886,1001,821,1532,1244
159,20.0,j,0.9454113841056824,1001,820,1491,1244
160,20.0,j,0.9449668526649475,1006,812,1460,1244
161,20.0,j,0.9465479254722595,1007,799,1444,1245
162,20.0,j,0.9463955760002136,1012,796,1434,1245
163,20.0,j,0.9447683691978455,1014,797,1428,1245
164,20.0,j,0.937980592250824,1015,798,1422,1244
165,20.0,j,0.9394438862800598,1016,799,1413,1243
166,20.0,j,0.9401843547821045,1018,803,1390,1242
167,20.0,j,0.9293676614761353,1021,842,1342,1243
168,20.0,j,0.9354328513145447,1026,851,1321,1243
169,20.0,j,0.9368290305137634,1026,824,1314,1243
170,20.0,j,0.9384773373603821,980,795,1311,1244
171,20.0,j,0.9294388890266418,965,760,1311,1244
172,20.0,j,0.9363582730293274,954,748,1310,1243
173,20.0,j,0.9366423487663269,948,757,1306,1243
174,20.0,j,0.939411461353302,935,772,1302,1243
175,20.0,j,0.9412822127342224,918,793,1298,1243
176,20.0,j,0.9385849833488464,919,830,1295,1239
177,20.0,j,0.9354915618896484,921,850,1292,1236
178,20.0,j,0.935447096824646,911,848,1290,1234
