frame,id,class,confidence,x1,y1,x2,y2
1,75,j,0.916833758354187,1033,618,1408,910
2,75,j,0.9167341589927673,1115,615,1437,910
3,75,j,0.9151886105537415,1143,614,1446,910
4,75,j,0.9143680334091187,1151,612,1448,911
5,75,j,0.913979172706604,1152,611,1449,911
6,75,j,0.9138433933258057,1145,611,1449,910
7,75,j,0.914617657661438,1141,611,1449,910
8,75,j,0.9145873785018921,1138,612,1449,909
9,75,j,0.9124274253845215,1134,612,1449,909
10,75,j,0.91275554895401,1132,612,1449,909
11,75,j,0.9132223129272461,1131,612,1449,908
12,75,j,0.9134829640388489,1131,612,1449,909
13,75,j,0.9126664996147156,1130,612,1449,909
14,75,j,0.9130456447601318,1129,611,1449,909
15,75,j,0.9141923785209656,1130,611,1448,909
16,75,j,0.9160308241844177,1126,612,1448,910
17,75,j,0.915280282497406,1123,612,1448,911
18,75,j,0.9151507019996643,1122,612,1448,910
19,75,j,0.9155594110488892,1122,612,1448,910
20,75,j,0.916008710861206,1123,612,1448,910
21,75,j,0.9140815734863281,1123,615,1448,910
22,75,j,0.9123930335044861,1125,620,1448,910
23,75,j,0.916293740272522,1127,624,1447,910
24,75,j,0.9185502529144287,1131,627,1447,909
25,75,j,0.9177699089050293,1132,630,1447,909
26,75,j,0.9184735417366028,1130,633,1447,909
27,75,j,0.9187837839126587,1128,634,1446,909
28,75,j,0.919133722782135,1127,634,1445,909
29,75,j,0.9188543558120728,1127,634,1444,909
30,75,j,0.9191359281539917,1129,634,1444,909
31,75,j,0.921554684638977,1135,633,1444,910
32,75,j,0.9214761257171631,1137,632,1444,910
33,75,j,0.9211448431015015,1137,632,1444,910
34,75,j,0.9211332201957703,1137,632,1444,910
35,75,j,0.9208300709724426,1136,632,1444,910
36,75,j,0.9203227758407593,1136,634,1444,910
37,75,j,0.921387255191803,1136,635,1443,909
38,75,j,0.9188732504844666,1136,639,1442,909
39,75,j,0.9201182723045349,1135,645,1441,909
40,75,j,0.922899067401886,1130,656,1444,908
