frame,id,class,confidence,x1,y1,x2,y2
1,,bt,0.9128195643424988,1259,931,1463,1145
1,,feeder,0.8275824785232544,984,935,2234,1326
2,76.0,bt,0.9191737174987793,1234,927,1460,1144
2,77.0,feeder,0.9078754782676697,982,934,2234,1325
3,76.0,bt,0.9157882928848267,1236,922,1447,1146
3,77.0,feeder,0.8863527178764343,982,934,2233,1325
4,76.0,bt,0.9097930192947388,1225,898,1440,1144
4,77.0,feeder,0.8923153877258301,982,934,2233,1326
5,76.0,bt,0.90720134973526,1219,879,1438,1146
5,77.0,feeder,0.9058137536048889,982,934,2233,1326
6,76.0,bt,0.898841381072998,1214,858,1438,1147
6,77.0,feeder,0.9067959785461426,982,936,2233,1326
7,76.0,bt,0.9258025288581848,1180,904,1459,1146
7,77.0,feeder,0.9275276064872742,982,935,2233,1325
8,76.0,bt,0.9400564432144165,1155,911,1477,1148
8,77.0,feeder,0.9231417179107666,981,933,2233,1325
9,76.0,bt,0.9325997829437256,1138,913,1485,1145
9,77.0,feeder,0.9247093200683594,982,933,2233,1325
10,76.0,bt,0.9262658357620239,1123,913,1487,1145
10,77.0,feeder,0.9248052835464478,981,934,2233,1325
11,76.0,bt,0.9202362895011902,1114,913,1488,1145
11,77.0,feeder,0.9259596467018127,981,934,2233,1324
12,76.0,bt,0.9169334769248962,1110,912,1488,1145
12,77.0,feeder,0.9264577627182007,980,935,2233,1325
13,76.0,bt,0.9204899668693542,1111,908,1478,1144
13,77.0,feeder,0.9200553297996521,980,935,2233,1324
14,76.0,bt,0.8958695530891418,1169,874,1472,1145
14,77.0,feeder,0.9129464030265808,981,935,2232,1325
15,76.0,bt,0.8816908597946167,1192,856,1468,1148
15,77.0,feeder,0.882744312286377,982,935,2233,1325
16,76.0,bt,0.875888466835022,1204,847,1463,1149
16,77.0,feeder,0.9233421683311462,981,934,2233,1325
17,76.0,bt,0.8812577724456787,1213,844,1461,1149
17,77.0,feeder,0.9111051559448242,981,934,2233,1325
18,76.0,bt,0.8779193162918091,1214,844,1461,1149
18,77.0,feeder,0.9128890633583069,981,934,2233,1324
19,76.0,bt,0.8828160166740417,1212,844,1458,1148
19,77.0,feeder,0.8949158191680908,980,934,2233,1325
20,76.0,bt,0.8785553574562073,1210,844,1457,1149
20,77.0,feeder,0.9077295064926147,980,934,2233,1325
21,76.0,bt,0.897932767868042,1204,863,1461,1145
21,77.0,feeder,0.9096278548240662,980,934,2234,1324
22,76.0,bt,0.8957193493843079,1189,905,1463,1146
22,77.0,feeder,0.9316748976707458,981,932,2233,1324
23,76.0,bt,0.8993605971336365,1176,923,1465,1147
23,77.0,feeder,0.9235235452651978,981,932,2233,1324
24,76.0,bt,0.893936276435852,1174,929,1463,1146
24,77.0,feeder,0.9208453297615051,981,932,2233,1324
25,76.0,bt,0.8983727693557739,1172,934,1466,1144
25,77.0,feeder,0.9138713479042053,980,932,2233,1324
26,76.0,bt,0.8978714942932129,1184,938,1465,1144
26,77.0,feeder,0.9171800017356873,980,933,2233,1324
27,76.0,bt,0.9066507816314697,1206,919,1466,1143
27,77.0,feeder,0.8391047120094299,981,931,2234,1324
28,76.0,bt,0.9051108360290527,1212,913,1466,1142
28,77.0,feeder,0.864408552646637,981,931,2233,1324
29,76.0,bt,0.8992636203765869,1211,909,1467,1142
29,77.0,feeder,0.8770190477371216,981,931,2233,1324
30,76.0,bt,0.9074001908302307,1210,907,1468,1141
30,77.0,feeder,0.8752123713493347,981,930,2233,1324
31,76.0,bt,0.9008442163467407,1209,908,1475,1143
31,77.0,feeder,0.8857516050338745,980,931,2233,1324
32,76.0,bt,0.9142318964004517,1182,926,1505,1143
32,77.0,feeder,0.9146667122840881,980,932,2232,1324
33,76.0,bt,0.889244019985199,1154,931,1515,1144
33,77.0,feeder,0.9182518720626831,980,934,2232,1324
34,76.0,bt,0.8902158141136169,1139,931,1520,1144
34,77.0,feeder,0.917629063129425,980,934,2233,1325
35,76.0,bt,0.8948724865913391,1148,929,1524,1143
35,77.0,feeder,0.9218202829360962,980,934,2233,1324
36,76.0,bt,0.880120575428009,1138,929,1522,1143
36,77.0,feeder,0.9286378622055054,981,934,2233,1324
37,76.0,bt,0.90071702003479,1139,937,1505,1146
37,77.0,feeder,0.9181578755378723,981,933,2233,1324
38,76.0,bt,0.868816614151001,1174,880,1490,1147
38,77.0,feeder,0.913933277130127,981,935,2233,1324
39,76.0,bt,0.900153398513794,1201,873,1490,1146
39,77.0,feeder,0.9136969447135925,981,934,2234,1324
40,76.0,bt,0.8890663981437683,1211,878,1486,1144
40,77.0,feeder,0.8873553276062012,980,932,2235,1325
41,76.0,bt,0.8847190737724304,1206,886,1485,1143
41,77.0,feeder,0.889378547668457,980,931,2235,1325
42,76.0,bt,0.8832841515541077,1198,888,1486,1143
42,77.0,feeder,0.8935869336128235,980,931,2235,1324
43,76.0,bt,0.8949456214904785,1160,923,1516,1143
43,77.0,feeder,0.9220699667930603,980,933,2235,1324
44,76.0,bt,0.8854026794433594,1130,918,1531,1142
44,77.0,feeder,0.9274507164955139,980,935,2235,1325
45,76.0,bt,0.8668950796127319,1104,913,1535,1142
45,77.0,feeder,0.9286721348762512,980,937,2236,1325
46,76.0,bt,0.9084830284118652,1108,907,1536,1145
46,77.0,feeder,0.8982290625572205,982,936,2236,1325
47,76.0,bt,0.8974693417549133,1100,907,1532,1144
47,77.0,feeder,0.9356217980384827,983,935,2237,1326
48,76.0,bt,0.899254560470581,1134,900,1487,1147
48,77.0,feeder,0.8928077220916748,982,936,2237,1326
49,76.0,bt,0.908820629119873,1150,898,1461,1140
49,77.0,feeder,0.9062153697013855,982,937,2236,1326
50,76.0,bt,0.922524631023407,1125,897,1450,1138
50,77.0,feeder,0.8946545124053955,981,939,2236,1325
51,76.0,bt,0.9197586178779602,1098,896,1445,1141
51,77.0,feeder,0.8998491764068604,981,942,2236,1325
52,76.0,bt,0.8695115447044373,1077,905,1457,1135
52,77.0,feeder,0.9289302229881287,983,942,2237,1325
53,76.0,bt,0.852495551109314,1033,917,1467,1164
53,77.0,feeder,0.9385814070701599,987,940,2238,1326
54,76.0,bt,0.8658432364463806,1001,922,1475,1170
54,77.0,feeder,0.9351522326469421,987,940,2239,1326
55,76.0,bt,0.8594170212745667,999,926,1470,1152
55,77.0,feeder,0.9339432120323181,989,941,2239,1325
56,76.0,bt,0.8349002599716187,1015,909,1478,1146
56,77.0,feeder,0.9413133263587952,992,943,2238,1325
57,76.0,bt,0.8498209118843079,1051,762,1638,1133
57,77.0,feeder,0.10181126743555069,990,949,2239,1323
58,76.0,bt,0.8006796836853027,1031,640,1565,1029
58,77.0,feeder,0.9259880185127258,989,946,2239,1322
59,,bt,0.48434314131736755,1037,265,1515,791
60,77.0,feeder,0.9349300265312195,990,944,2240,1323
61,77.0,feeder,0.9571025967597961,990,944,2240,1323
62,77.0,feeder,0.9578705430030823,989,945,2240,1323
63,77.0,feeder,0.9576488137245178,989,945,2239,1323
64,77.0,feeder,0.9578438997268677,988,945,2240,1323
