frame,id,class,confidence,x1,y1,x2,y2
1,,j,0.9088094234466553,1057,884,1267,1151
2,371.0,j,0.908190131187439,1054,899,1266,1151
3,371.0,j,0.8999889492988586,1051,917,1267,1147
4,371.0,j,0.8930725455284119,1048,935,1262,1150
5,371.0,j,0.8923203349113464,1050,949,1261,1164
6,371.0,j,0.8906286954879761,1050,956,1261,1172
7,371.0,j,0.8913391828536987,1048,959,1263,1176
8,371.0,j,0.8910506367683411,1048,959,1264,1177
9,371.0,j,0.8920746445655823,1048,959,1265,1176
10,371.0,j,0.8930051326751709,1050,959,1267,1174
11,371.0,j,0.8916935324668884,1052,959,1267,1172
12,371.0,j,0.89568692445755,1050,958,1265,1165
13,371.0,j,0.889482319355011,1049,955,1263,1155
14,371.0,j,0.8986544013023376,1051,951,1265,1150
15,371.0,j,0.887963593006134,1052,936,1268,1151
16,371.0,j,0.8937307000160217,1055,922,1274,1150
17,371.0,j,0.8930356502532959,1057,918,1276,1150
18,371.0,j,0.8917983174324036,1058,916,1278,1150
19,371.0,j,0.8915870189666748,1059,915,1279,1151
20,371.0,j,0.8926522135734558,1059,915,1279,1151
21,371.0,j,0.8923691511154175,1058,915,1279,1151
22,371.0,j,0.9021145701408386,1057,914,1277,1152
23,371.0,j,0.900700569152832,1057,921,1274,1151
24,371.0,j,0.8974498510360718,1056,937,1272,1148
25,371.0,j,0.89324951171875,1053,947,1271,1152
26,371.0,j,0.8934201002120972,1049,954,1268,1164
27,371.0,j,0.8865371942520142,1046,958,1266,1172
28,371.0,j,0.882485032081604,1043,960,1266,1175
29,371.0,j,0.8826757669448853,1041,958,1267,1176
30,371.0,j,0.888159990310669,1045,957,1267,1176
31,371.0,j,0.8893857598304749,1049,957,1269,1175
32,371.0,j,0.8862341046333313,1051,956,1268,1168
33,371.0,j,0.884272038936615,1051,954,1269,1155
34,371.0,j,0.8942815661430359,1053,948,1271,1151
35,371.0,j,0.8961786031723022,1054,935,1272,1151
36,371.0,j,0.9011555314064026,1057,919,1273,1151
37,371.0,j,0.9070248007774353,1058,894,1276,1151
38,371.0,j,0.9066726565361023,1058,880,1280,1151
39,371.0,j,0.9008857011795044,1058,861,1283,1151
40,371.0,j,0.8982867002487183,1060,850,1283,1151
41,371.0,j,0.8969631195068359,1061,846,1283,1151
42,371.0,j,0.8971699476242065,1061,843,1284,1151
43,371.0,j,0.8977939486503601,1061,841,1285,1151
44,371.0,j,0.8984332084655762,1061,842,1286,1151
45,371.0,j,0.9042830467224121,1062,847,1287,1150
46,371.0,j,0.9098756909370422,1062,855,1304,1149
47,371.0,j,0.9109072685241699,1056,857,1317,1151
48,371.0,j,0.9101261496543884,1055,859,1322,1151
49,371.0,j,0.9097448587417603,1053,858,1325,1152
50,371.0,j,0.9092742800712585,1051,858,1326,1152
51,371.0,j,0.9082691669464111,1048,858,1326,1152
52,371.0,j,0.9061024785041809,1045,858,1325,1152
53,371.0,j,0.9057369828224182,1041,858,1325,1152
54,371.0,j,0.905633807182312,1040,858,1325,1152
55,371.0,j,0.905328094959259,1039,858,1325,1152
