frame,id,class,confidence,x1,y1,x2,y2
1,,gt,0.9119240641593933,1191,717,1572,957
2,385.0,gt,0.9073910713195801,1193,720,1570,956
3,385.0,gt,0.7239965796470642,1201,601,1551,928
4,385.0,gt,0.8694072365760803,1206,648,1540,925
5,385.0,gt,0.8683834075927734,1256,674,1537,938
6,385.0,gt,0.8666709065437317,1277,686,1539,942
7,385.0,gt,0.863347589969635,1289,689,1540,944
8,385.0,gt,0.8689330220222473,1298,690,1540,946
9,385.0,gt,0.8786888718605042,1306,697,1539,946
10,385.0,gt,0.885534942150116,1310,703,1539,946
11,385.0,gt,0.8744956254959106,1309,708,1539,946
12,385.0,gt,0.8724451661109924,1307,713,1539,945
13,385.0,gt,0.8735379576683044,1311,718,1540,944
14,385.0,gt,0.8667423129081726,1314,721,1541,944
15,385.0,gt,0.8728525638580322,1318,724,1542,944
16,385.0,gt,0.8658086657524109,1312,732,1541,946
17,385.0,gt,0.8690211176872253,1312,736,1541,947
18,385.0,gt,0.8641408085823059,1305,736,1540,946
19,385.0,gt,0.864616870880127,1304,737,1540,946
20,385.0,gt,0.8594723343849182,1303,739,1541,946
21,385.0,gt,0.8567459583282471,1300,739,1541,946
22,385.0,gt,0.8554787039756775,1303,741,1541,947
23,385.0,gt,0.8608227372169495,1309,742,1541,949
24,385.0,gt,0.8652920126914978,1313,744,1541,949
25,385.0,gt,0.865105152130127,1315,744,1541,950
26,385.0,gt,0.8594227433204651,1315,747,1542,949
27,385.0,gt,0.8507579565048218,1337,740,1543,948
28,385.0,gt,0.8399487137794495,1348,743,1544,947
29,385.0,gt,0.8417167663574219,1349,744,1545,945
30,385.0,gt,0.843792200088501,1356,742,1545,945
31,385.0,gt,0.8607707023620605,1357,729,1548,946
32,385.0,gt,0.8614352941513062,1358,724,1548,947
33,385.0,gt,0.8611335754394531,1357,723,1548,947
34,385.0,gt,0.8564274907112122,1355,723,1548,947
35,385.0,gt,0.8557137250900269,1355,728,1548,947
36,385.0,gt,0.8419536352157593,1355,738,1544,941
37,385.0,gt,0.8427712321281433,1356,741,1546,941
38,385.0,gt,0.8112018704414368,1362,751,1546,940
39,385.0,gt,0.7715904712677002,1365,757,1546,940
40,385.0,gt,0.7072311639785767,1366,758,1546,940
40,386.0,bt,0.6084820628166199,1372,759,1547,941
41,385.0,gt,0.750056803226471,1369,758,1546,940
41,386.0,bt,0.4970712959766388,1375,759,1547,941
42,,gt,0.8422855138778687,1379,765,1545,939
43,385.0,gt,0.8443815112113953,1388,770,1544,935
44,385.0,gt,0.6653326153755188,1391,778,1543,934
45,385.0,bt,0.7520991563796997,1389,779,1544,934
46,385.0,bt,0.8819474577903748,1388,775,1541,937
47,385.0,bt,0.8651759028434753,1386,775,1542,938
48,385.0,bt,0.8685092926025391,1386,774,1543,938
49,385.0,bt,0.8036994338035583,1385,775,1544,939
50,385.0,bt,0.8448660373687744,1386,776,1545,941
51,385.0,bt,0.8675710558891296,1338,728,1562,943
52,385.0,bt,0.8584275245666504,1338,723,1554,938
53,385.0,gt,0.8294770121574402,1318,707,1509,905
54,385.0,gt,0.765873908996582,1288,706,1478,876
55,385.0,gt,0.714241623878479,1237,693,1451,872
56,385.0,bt,0.7636303305625916,1219,724,1382,875
57,385.0,gt,0.71852707862854,1137,742,1348,873
58,385.0,bt,0.797797679901123,1122,743,1328,872
59,385.0,bt,0.5234400629997253,1074,735,1261,869
60,,bt,0.54656583070755,989,762,1106,869
60,,gt,0.1113104298710823,993,777,1122,870
61,,bt,0.47346583008766174,786,907,923,1042
62,,bt,0.6402895450592041,687,992,832,1074
63,,bt,0.7373546957969666,549,974,718,1102
64,,bt,0.7218829989433289,492,1046,599,1113
65,,bt,0.7325183749198914,382,1045,493,1129
66,,bt,0.7244672775268555,272,1025,412,1105
67,,bt,0.38899561762809753,182,985,306,1045
817,,gt,0.663019597530365,0,636,147,818
818,,gt,0.5175492167472839,88,725,223,817
819,,gt,0.7409924268722534,190,783,347,900
820,,gt,0.8346288204193115,337,846,572,1038
821,,gt,0.8234902024269104,462,866,743,1109
822,401.0,gt,0.9213552474975586,519,817,839,1127
823,401.0,gt,0.8753607273101807,588,792,899,1108
824,,bt,0.7707333564758301,784,815,921,968
825,,gt,0.750291109085083,844,766,1064,963
825,,bt,0.16383975744247437,829,759,1060,965
825,,gt,0.1475040316581726,985,763,1067,867
826,403.0,gt,0.8262002468109131,814,743,1079,898
827,403.0,gt,0.7787389159202576,814,737,1089,879
828,403.0,bt,0.5988264083862305,813,735,1093,883
828,404.0,gt,0.4948045611381531,813,735,1093,889
829,,bt,0.779563844203949,821,736,1094,886
830,403.0,bt,0.809661328792572,823,736,1093,885
831,403.0,bt,0.8213541507720947,824,735,1091,884
832,403.0,gt,0.8166735172271729,820,734,1091,890
833,403.0,gt,0.7256205081939697,833,727,1095,892
833,401.0,bt,0.6195551156997681,839,726,1099,888
834,403.0,gt,0.6284000873565674,837,724,1096,900
834,401.0,bt,0.49268582463264465,845,722,1103,887
835,403.0,gt,0.6868229508399963,839,722,1096,898
835,401.0,bt,0.4503282308578491,847,721,1105,884
836,403.0,gt,0.6517009139060974,839,722,1096,900
836,401.0,bt,0.502234935760498,847,721,1105,880
837,403.0,gt,0.6585532426834106,839,721,1096,901
837,401.0,bt,0.5208601951599121,847,720,1105,879
838,403.0,gt,0.694678008556366,838,721,1096,902
838,401.0,bt,0.45670244097709656,845,720,1104,881
839,403.0,gt,0.6891775131225586,839,721,1096,902
839,401.0,bt,0.46954166889190674,845,720,1103,882
840,403.0,gt,0.6717738509178162,838,721,1095,903
840,401.0,bt,0.5309675931930542,843,720,1102,883
841,403.0,gt,0.7243789434432983,840,721,1096,899
841,401.0,bt,0.40822333097457886,843,721,1101,887
842,403.0,gt,0.6287291646003723,840,722,1094,902
842,401.0,bt,0.48328283429145813,844,723,1098,895
843,403.0,gt,0.5744737982749939,857,741,1105,901
843,401.0,gt,0.5773380994796753,935,681,1105,897
844,403.0,gt,0.7311515808105469,855,750,1126,900
845,401.0,gt,0.8398809432983398,964,719,1183,896
846,401.0,gt,0.855709433555603,979,734,1226,883
847,401.0,gt,0.851066529750824,993,761,1278,904
848,401.0,gt,0.861296534538269,1035,800,1346,913
849,401.0,gt,0.8707018494606018,1056,806,1395,918
850,401.0,gt,0.8853039145469666,1066,803,1421,920
851,401.0,gt,0.8862326145172119,1067,800,1430,922
852,401.0,gt,0.8811290860176086,1066,799,1432,921
853,401.0,gt,0.8782320022583008,1067,798,1434,922
854,401.0,gt,0.8821606636047363,1070,798,1434,921
855,401.0,gt,0.889926016330719,1070,796,1434,922
856,401.0,gt,0.8947250843048096,1072,796,1434,921
857,401.0,gt,0.8948642611503601,1073,796,1433,921
858,401.0,gt,0.8903747797012329,1072,796,1432,920
859,401.0,gt,0.8577712178230286,1087,802,1441,918
860,401.0,gt,0.8553104996681213,1087,821,1455,920
861,401.0,gt,0.7505831122398376,1097,838,1466,921
862,401.0,bt,0.4404746890068054,1109,846,1462,922
863,401.0,gt,0.5001378059387207,1128,846,1470,922
864,401.0,gt,0.865286111831665,1125,835,1473,921
865,401.0,gt,0.8819734454154968,1132,820,1470,920
866,401.0,gt,0.8811237215995789,1126,813,1468,920
867,401.0,gt,0.8832645416259766,1120,810,1468,920
868,401.0,gt,0.883845329284668,1118,808,1468,920
869,401.0,gt,0.8865393400192261,1116,808,1470,921
870,401.0,gt,0.8822221159934998,1115,806,1467,921
871,401.0,gt,0.8795170783996582,1123,802,1468,921
872,401.0,gt,0.8784533143043518,1123,800,1468,922
