frame,id,class,confidence,x1,y1,x2,y2
1,,bt,0.9128195643424988,1259,931,1463,1145
2,439.0,bt,0.9191737174987793,1234,927,1460,1144
3,439.0,bt,0.9157882928848267,1236,922,1447,1146
4,439.0,bt,0.9097930192947388,1225,898,1440,1144
5,439.0,bt,0.90720134973526,1219,879,1438,1146
6,439.0,bt,0.898841381072998,1214,858,1438,1147
7,439.0,bt,0.9258025288581848,1180,904,1459,1146
8,439.0,bt,0.9400564432144165,1155,911,1477,1148
9,439.0,bt,0.9325997829437256,1138,913,1485,1145
10,439.0,bt,0.9262658357620239,1123,913,1487,1145
11,439.0,bt,0.9202362895011902,1114,913,1488,1145
12,439.0,bt,0.9169334769248962,1110,912,1488,1145
13,439.0,bt,0.9204899668693542,1111,908,1478,1144
14,439.0,bt,0.8958695530891418,1169,874,1472,1145
15,439.0,bt,0.8816908597946167,1192,856,1468,1148
16,439.0,bt,0.875888466835022,1204,847,1463,1149
17,439.0,bt,0.8812577724456787,1213,844,1461,1149
18,439.0,bt,0.8779193162918091,1214,844,1461,1149
19,439.0,bt,0.8828160166740417,1212,844,1458,1148
20,439.0,bt,0.8785553574562073,1210,844,1457,1149
21,439.0,bt,0.897932767868042,1204,863,1461,1145
22,439.0,bt,0.8957193493843079,1189,905,1463,1146
23,439.0,bt,0.8993605971336365,1176,923,1465,1147
24,439.0,bt,0.893936276435852,1174,929,1463,1146
25,439.0,bt,0.8983727693557739,1172,934,1466,1144
26,439.0,bt,0.8978714942932129,1184,938,1465,1144
27,439.0,bt,0.9066507816314697,1206,919,1466,1143
28,439.0,bt,0.9051108360290527,1212,913,1466,1142
29,439.0,bt,0.8992636203765869,1211,909,1467,1142
30,439.0,bt,0.9074001908302307,1210,907,1468,1141
31,439.0,bt,0.9008442163467407,1209,908,1475,1143
32,439.0,bt,0.9142318964004517,1182,926,1505,1143
33,439.0,bt,0.889244019985199,1154,931,1515,1144
34,439.0,bt,0.8902158141136169,1139,931,1520,1144
35,439.0,bt,0.8948724865913391,1148,929,1524,1143
36,439.0,bt,0.880120575428009,1138,929,1522,1143
37,439.0,bt,0.90071702003479,1139,937,1505,1146
38,439.0,bt,0.868816614151001,1174,880,1490,1147
39,439.0,bt,0.900153398513794,1201,873,1490,1146
40,439.0,bt,0.8890663981437683,1211,878,1486,1144
41,439.0,bt,0.8847190737724304,1206,886,1485,1143
42,439.0,bt,0.8832841515541077,1198,888,1486,1143
43,439.0,bt,0.8949456214904785,1160,923,1516,1143
44,439.0,bt,0.8854026794433594,1130,918,1531,1142
45,439.0,bt,0.8668950796127319,1104,913,1535,1142
