epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.8257,0.98393,2.15251,1.04437,0.67775,0.76561,0.71216,0.51063,0.73844,0.8802,0.9357,0.00332574,0.00332574,0.00332574
2,165.769,0.90546,1.3094,1.00144,0.77057,0.76285,0.77824,0.5127,0.84504,0.7531,0.96095,0.00659315,0.00659315,0.00659315
3,245.454,0.94885,1.16974,1.0366,0.72295,0.73799,0.73192,0.45011,0.89116,0.84943,1.01735,0.00979456,0.00979456,0.00979456
4,323.956,0.94341,0.99228,1.0511,0.75254,0.74836,0.74305,0.49835,0.79282,0.64904,0.95771,0.009703,0.009703,0.009703
5,401.811,0.875,0.81498,1.03124,0.74185,0.78729,0.77095,0.51523,0.77115,0.61276,0.94864,0.009604,0.009604,0.009604
6,480.096,0.81904,0.72206,1.0106,0.79035,0.81325,0.8314,0.58869,0.66952,0.59525,0.9141,0.009505,0.009505,0.009505
7,557.016,0.77935,0.67159,0.99314,0.82439,0.80253,0.84877,0.60869,0.64099,0.50291,0.90846,0.009406,0.009406,0.009406
8,631.624,0.74831,0.62772,0.9851,0.81785,0.7859,0.8314,0.60694,0.63297,0.50405,0.90519,0.009307,0.009307,0.009307
9,705.968,0.7127,0.59108,0.972,0.85867,0.83287,0.86758,0.62308,0.63408,0.45877,0.90779,0.009208,0.009208,0.009208
10,780.366,0.70138,0.57134,0.96951,0.87345,0.81435,0.86736,0.62806,0.61347,0.46405,0.90066,0.009109,0.009109,0.009109
11,854.845,0.67975,0.55654,0.96309,0.87024,0.80851,0.86362,0.62324,0.58884,0.46222,0.89446,0.00901,0.00901,0.00901
12,929.128,0.65731,0.53113,0.95202,0.89052,0.86096,0.90194,0.68467,0.55917,0.42057,0.88233,0.008911,0.008911,0.008911
13,1003.53,0.65394,0.52169,0.95312,0.92218,0.83183,0.89569,0.68634,0.5281,0.40707,0.86757,0.008812,0.008812,0.008812
14,1077.96,0.63768,0.50716,0.94614,0.90558,0.86463,0.89105,0.68526,0.53228,0.39868,0.87454,0.008713,0.008713,0.008713
15,1152.36,0.63326,0.4976,0.94333,0.91229,0.87485,0.90587,0.69949,0.52716,0.38849,0.86701,0.008614,0.008614,0.008614
16,1226.65,0.62291,0.49807,0.94129,0.91686,0.86005,0.90776,0.67458,0.54478,0.39248,0.87096,0.008515,0.008515,0.008515
17,1300.92,0.61084,0.48748,0.93645,0.88631,0.86936,0.90101,0.6857,0.5074,0.37345,0.87052,0.008416,0.008416,0.008416
18,1375.24,0.61216,0.48481,0.93792,0.90094,0.87236,0.89546,0.69642,0.51105,0.3749,0.8684,0.008317,0.008317,0.008317
19,1449.45,0.59799,0.4722,0.93463,0.91229,0.88151,0.91536,0.70626,0.50049,0.35816,0.86186,0.008218,0.008218,0.008218
20,1523.75,0.59264,0.46679,0.93259,0.92201,0.87018,0.90551,0.71148,0.51219,0.37119,0.86531,0.008119,0.008119,0.008119
21,1598,0.58804,0.46446,0.93288,0.93206,0.87597,0.9214,0.72495,0.49354,0.35171,0.85456,0.00802,0.00802,0.00802
22,1672.34,0.58163,0.45369,0.92547,0.90082,0.88647,0.9158,0.72106,0.46958,0.33159,0.85347,0.007921,0.007921,0.007921
23,1746.57,0.56818,0.45596,0.92529,0.93104,0.89209,0.9212,0.72085,0.47849,0.34338,0.85361,0.007822,0.007822,0.007822
24,1820.97,0.56598,0.44144,0.92027,0.93644,0.88754,0.92331,0.73465,0.47004,0.33545,0.85167,0.007723,0.007723,0.007723
25,1895.25,0.56855,0.43704,0.9219,0.93793,0.88266,0.91824,0.7325,0.49048,0.35203,0.85532,0.007624,0.007624,0.007624
26,1969.49,0.56406,0.4381,0.92055,0.93598,0.8869,0.93113,0.73437,0.46938,0.33603,0.85391,0.007525,0.007525,0.007525
27,2043.75,0.5536,0.42862,0.91782,0.92328,0.89309,0.91973,0.72613,0.46577,0.3296,0.8534,0.007426,0.007426,0.007426
28,2118.15,0.55147,0.42247,0.91795,0.91888,0.89211,0.91737,0.72679,0.466,0.33343,0.85188,0.007327,0.007327,0.007327
29,2192.58,0.53969,0.42067,0.91268,0.92978,0.88943,0.92577,0.73751,0.45989,0.31757,0.84874,0.007228,0.007228,0.007228
30,2267.06,0.54172,0.41683,0.91132,0.9248,0.89767,0.92505,0.73831,0.47648,0.32969,0.85189,0.007129,0.007129,0.007129
31,2341.63,0.53882,0.4116,0.91114,0.91544,0.90408,0.93178,0.74911,0.44542,0.30439,0.84191,0.00703,0.00703,0.00703
32,2416.17,0.53513,0.41614,0.91289,0.94442,0.89147,0.93319,0.74632,0.44611,0.31425,0.84089,0.006931,0.006931,0.006931
33,2490.72,0.52711,0.40191,0.90919,0.92786,0.90535,0.93105,0.74856,0.43325,0.29769,0.84192,0.006832,0.006832,0.006832
34,2565.17,0.52403,0.40194,0.9087,0.91328,0.91383,0.93737,0.75436,0.44492,0.30882,0.83671,0.006733,0.006733,0.006733
35,2639.62,0.52081,0.4012,0.90843,0.94522,0.89316,0.92926,0.75547,0.43318,0.29282,0.8393,0.006634,0.006634,0.006634
36,2714.13,0.51568,0.38984,0.90215,0.94464,0.89119,0.93365,0.74857,0.44552,0.28811,0.84135,0.006535,0.006535,0.006535
37,2788.85,0.51792,0.38961,0.90618,0.93657,0.88617,0.92439,0.74884,0.4322,0.2908,0.84046,0.006436,0.006436,0.006436
38,2863.5,0.50874,0.38761,0.90306,0.94921,0.88719,0.92831,0.75335,0.43639,0.28393,0.84325,0.006337,0.006337,0.006337
39,2937.97,0.51097,0.38456,0.90389,0.94896,0.89501,0.93325,0.75546,0.43511,0.2867,0.83852,0.006238,0.006238,0.006238
