epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,160.04,0.89933,1.83062,1.01019,0.8056,0.76744,0.77964,0.56694,0.6821,0.63349,0.9003,0.00332953,0.00332953,0.00332953
2,317.711,0.83235,1.1077,0.98196,0.76646,0.70429,0.75198,0.5007,0.77954,0.70184,0.95126,0.0065969,0.0065969,0.0065969
3,458.563,0.87375,0.91851,1.01859,0.79035,0.71079,0.7755,0.48904,0.85123,0.71608,0.98787,0.00979827,0.00979827,0.00979827
4,598.393,0.8475,0.76819,1.0231,0.80317,0.7765,0.80051,0.57474,0.67253,0.53478,0.92874,0.009703,0.009703,0.009703
5,737.902,0.76741,0.65,0.99426,0.87321,0.82049,0.8532,0.61981,0.63941,0.46737,0.91592,0.009604,0.009604,0.009604
6,878.136,0.71962,0.5899,0.97795,0.8521,0.84735,0.86785,0.64513,0.59925,0.4937,0.90104,0.009505,0.009505,0.009505
7,1017.78,0.68258,0.54911,0.9635,0.9268,0.85582,0.89931,0.65848,0.57027,0.40614,0.89639,0.009406,0.009406,0.009406
8,1157.14,0.65563,0.52125,0.95346,0.91201,0.86933,0.89559,0.6743,0.55106,0.3912,0.88409,0.009307,0.009307,0.009307
9,1296.46,0.63867,0.50384,0.94828,0.89824,0.86748,0.90286,0.68147,0.56138,0.38819,0.88479,0.009208,0.009208,0.009208
10,1435.84,0.61985,0.48461,0.94161,0.90217,0.88545,0.9101,0.70274,0.5108,0.34945,0.86715,0.009109,0.009109,0.009109
11,1575.27,0.60475,0.47445,0.93754,0.90331,0.89066,0.91349,0.71352,0.50839,0.3452,0.86058,0.00901,0.00901,0.00901
12,1714.97,0.59482,0.45678,0.93322,0.94098,0.85975,0.91633,0.72258,0.47654,0.32283,0.8602,0.008911,0.008911,0.008911
13,1854.42,0.58448,0.45276,0.93073,0.91041,0.88355,0.91227,0.71706,0.51055,0.3389,0.86254,0.008812,0.008812,0.008812
14,1993.93,0.56882,0.43959,0.9251,0.93106,0.89532,0.93181,0.73498,0.45774,0.31106,0.85498,0.008713,0.008713,0.008713
15,2133.48,0.56347,0.43038,0.92157,0.92939,0.90153,0.93177,0.75041,0.45013,0.30773,0.84978,0.008614,0.008614,0.008614
16,2272.88,0.55643,0.42333,0.91829,0.93377,0.89122,0.9171,0.73918,0.45278,0.29417,0.85161,0.008515,0.008515,0.008515
17,2412.32,0.54617,0.42119,0.91765,0.9183,0.9003,0.93113,0.75153,0.45255,0.29791,0.84816,0.008416,0.008416,0.008416
18,2551.79,0.53979,0.41109,0.91323,0.93612,0.90743,0.93777,0.76491,0.44281,0.28519,0.84372,0.008317,0.008317,0.008317
19,2691.46,0.54178,0.40837,0.91433,0.94722,0.89123,0.93205,0.75937,0.43586,0.28991,0.84685,0.008218,0.008218,0.008218
20,2830.96,0.52896,0.40165,0.90943,0.9466,0.88847,0.93689,0.76311,0.4343,0.28455,0.84325,0.008119,0.008119,0.008119
21,2970.35,0.52205,0.39408,0.90798,0.94366,0.89316,0.93102,0.76453,0.42012,0.27615,0.8379,0.00802,0.00802,0.00802
22,3109.8,0.523,0.39314,0.90908,0.93235,0.89816,0.93302,0.76321,0.42263,0.2739,0.83951,0.007921,0.007921,0.007921
23,3249.27,0.51751,0.38721,0.9069,0.94472,0.91062,0.94353,0.77895,0.41941,0.27498,0.83592,0.007822,0.007822,0.007822
24,3388.92,0.51574,0.38908,0.90403,0.93379,0.90994,0.9386,0.77441,0.41451,0.26542,0.83939,0.007723,0.007723,0.007723
25,3528.41,0.50871,0.38096,0.90416,0.93408,0.91854,0.93608,0.77471,0.41183,0.27031,0.83682,0.007624,0.007624,0.007624
26,3667.93,0.50693,0.37751,0.90247,0.94795,0.89483,0.942,0.78365,0.40139,0.25741,0.834,0.007525,0.007525,0.007525
27,3807.48,0.49903,0.37097,0.89985,0.93372,0.91214,0.9381,0.77545,0.40322,0.2522,0.83945,0.007426,0.007426,0.007426
28,3947.19,0.49705,0.37225,0.90171,0.95816,0.9013,0.94594,0.79493,0.39113,0.24994,0.83352,0.007327,0.007327,0.007327
29,4086.67,0.49361,0.36556,0.89931,0.94737,0.90582,0.94388,0.7841,0.39239,0.24836,0.83566,0.007228,0.007228,0.007228
30,4225.91,0.48343,0.35979,0.8941,0.95221,0.92231,0.95007,0.79177,0.38802,0.23613,0.83454,0.007129,0.007129,0.007129
31,4365.43,0.48523,0.35515,0.89495,0.93432,0.91787,0.94213,0.78522,0.38802,0.24057,0.831,0.00703,0.00703,0.00703
